CustomerKey,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,CLV_Tier
301,468,1,592.0,3,1,1,311,Need Attention,Low Value
325,414,3,5787.67,4,4,4,444,Champions,Top Value
554,444,2,951.71,3,2,2,322,Loyal,Low Value
1042,1083,1,1124.91,1,1,2,112,Lost,Low Value
1314,1160,1,2539.86,1,1,3,113,Lost,Medium Value
1568,11,4,4922.43,5,5,4,554,Champions,Medium Value
1585,724,2,6700.62,2,2,4,224,Lost,Top Value
1626,365,2,2940.35,4,2,3,423,Loyal,Medium Value
1642,642,1,115.98,2,1,1,211,Lost,Low Value
1863,197,2,2198.25,5,2,3,523,Loyal,Medium Value
2238,352,2,579.94,4,2,1,421,Loyal,Low Value
2248,770,1,869.92,2,1,2,212,Lost,Low Value
2435,1115,2,2474.9700000000003,1,2,3,123,Lost,Medium Value
2469,472,1,158.76,3,1,1,311,Need Attention,Low Value
2512,358,2,3575.08,4,2,3,423,Loyal,Medium Value
2792,657,1,70.13,2,1,1,211,Lost,Low Value
3002,1822,1,932.27,1,1,2,112,Lost,Low Value
3203,799,2,6206.66,2,2,4,224,Lost,Top Value
3327,925,1,2851.0,1,1,3,113,Lost,Medium Value
3575,1822,1,774.0,1,1,1,111,Lost,Low Value
3964,1474,1,1506.0,1,1,2,112,Lost,Low Value
4174,88,2,4465.53,5,2,4,524,Need Attention,Medium Value
5097,1874,1,43.14,1,1,1,111,Lost,Low Value
5445,1207,1,600.0,1,1,1,111,Lost,Low Value
5962,975,2,5377.61,1,2,4,124,Lost,Top Value
6258,59,1,4394.0,5,1,4,514,Need Attention,Medium Value
6308,597,1,1117.48,3,1,2,312,Need Attention,Low Value
7109,1011,1,494.95,1,1,1,111,Lost,Low Value
7566,540,1,3142.0,3,1,3,313,Need Attention,Medium Value
7700,905,1,182.97,1,1,1,111,Lost,Low Value
7783,527,1,1299.95,3,1,2,312,Need Attention,Low Value
8098,550,1,2094.0,3,1,2,312,Need Attention,Medium Value
8181,368,1,1991.94,4,1,2,412,Need Attention,Medium Value
8789,899,1,1499.5,1,1,2,112,Lost,Low Value
8945,430,1,1638.9,4,1,2,412,Need Attention,Low Value
9167,509,1,227.96999999999997,3,1,1,311,Need Attention,Low Value
9184,963,2,26039.44,1,2,5,125,Lost,Top Value
9456,218,2,7130.49,5,2,4,524,Need Attention,Top Value
9812,31,3,4339.4,5,4,4,544,Champions,Medium Value
9915,1264,1,13569.0,1,1,5,115,Lost,Top Value
10039,467,1,899.97,3,1,2,312,Need Attention,Low Value
10299,1485,1,419.96,1,1,1,111,Lost,Low Value
10393,216,1,2310.0,5,1,3,513,Need Attention,Medium Value
11035,372,1,268.0,4,1,1,411,Need Attention,Low Value
12160,984,2,7465.78,1,2,4,124,Lost,Top Value
12365,344,1,1719.97,5,1,2,512,Need Attention,Medium Value
12392,785,1,7988.669999999999,2,1,5,215,Lost,Top Value
12649,367,1,62.910000000000004,4,1,1,411,Need Attention,Low Value
12729,550,4,6990.45,3,5,4,354,Loyal,Top Value
12859,421,1,545.68,4,1,1,411,Need Attention,Low Value
13045,960,2,1785.72,1,2,2,122,Lost,Medium Value
13071,99,1,749.0,5,1,1,511,Need Attention,Low Value
13365,2,1,109.0,5,1,1,511,Need Attention,Low Value
14069,795,1,837.0,2,1,1,211,Lost,Low Value
14180,1860,1,864.78,1,1,2,112,Lost,Low Value
14906,1263,1,770.42,1,1,1,111,Lost,Low Value
14962,478,2,15810.829999999998,3,2,5,325,Need Attention,Top Value
14988,723,1,6001.97,2,1,4,214,Lost,Top Value
15391,1143,1,497.97,1,1,1,111,Lost,Low Value
15718,405,1,2072.51,4,1,2,412,Need Attention,Medium Value
16716,587,1,1889.08,3,1,2,312,Need Attention,Medium Value
17412,877,3,2083.31,2,4,2,242,Lost,Medium Value
17811,794,1,2727.2,2,1,3,213,Lost,Medium Value
18309,984,1,511.95,1,1,1,111,Lost,Low Value
18470,19,3,1811.69,5,4,2,542,Loyal,Medium Value
18493,1713,1,350.48,1,1,1,111,Lost,Low Value
18887,1289,1,1328.3600000000001,1,1,2,112,Lost,Low Value
19082,183,3,4469.97,5,4,4,544,Champions,Medium Value
19207,635,2,2282.64,2,2,3,223,Lost,Medium Value
19404,370,1,657.0,4,1,1,411,Need Attention,Low Value
19534,927,1,870.02,1,1,2,112,Lost,Low Value
19726,352,1,857.0,4,1,2,412,Need Attention,Low Value
19753,795,2,684.85,2,2,1,221,Lost,Low Value
